7,7
12,2
21,1
30,0
44,4
51,1
64,4
79,9
85,5
99,9
100,0
116,6
129,9
130,0
141,1
155,5
169,9
177,7
183,3
194,4
209,9
216,6
226,6
235,5
244,4
250,0
267,7
274,4
280,0
291,1
303,3
311,1
323,3
334,4
347,7
352,2
367,7
371,1
382,2
391,1
401,1
417,7
424,4
432,2
443,3
455,5
461,1
472,2
484,4
494,4
506,6
513,3
525,5
535,5
546,6
550,0
564,4
571,1
589,9
595,5
607,7
618,8
629,9
633,3
647,7
654,4
666,6
674,4
683,3
690,0
707,7
710,0
722,2
739,9
741,1
757,7
763,3
772,2
789,9
797,7
807,7
816,6
822,2
837,7
848,8
854,4
867,7
873,3
886,6
891,1
903,3
916,6
929,9
933,3
941,1
954,4
961,1
977,7
986,6
999,9
1006,6
1010,0
1025,5
1034,4
1049,9
1059,9
1062,2
1071,1
1089,9
1094,4
1108,8
1117,7
1123,3
1139,9
1147,7
1154,4
1164,4
1174,4
1189,9
1192,2
1205,5
1214,4
1227,7
1236,6
1247,7
1259,9
1260,0
1275,5
1288,8
1295,5
1306,6
1316,6
1325,5
1337,7
1348,8
1351,1
1360,0
1371,1
1386,6
1394,4
1406,6
1417,7
1423,3
1431,1
1447,7
1451,1
1468,8
1472,2
1480,0
1492,2
1509,9
1519,9
1525,5
1535,5
1541,1
1555,5
1566,6
1570,0
1583,3
1594,4
1604,4
1616,6
1625,5
1634,4
1646,6
1655,5
1664,4
1675,5
1681,1
1694,4
1704,4
1717,7
1722,2
1733,3
1742,2
1757,7
1761,1
1778,8
1781,1
1798,8
1801,1
1818,8
1825,5
1830,0
1848,8
1859,9
1862,2
1875,5
1880,0
1891,1
1901,1
1911,1
1920,0
1939,9
1940,0
1953,3
1961,1
1976,6
1984,4
1992,2
2003,3
2016,6
2021,1
2031,1
2041,1
2053,3
2069,9
2075,5
2082,2
2099,9
2104,4
2115,5
2129,9
2133,3
2149,9
2150,0
2163,3
2176,6
2185,5
2195,5
2207,7
2212,2
2222,2
2237,7
2241,1
2252,2
2268,8
2274,4
2281,1
2297,7
2303,3
2313,3
2328,8
2338,8
2347,7
2359,9
2362,2
2372,2
2384,4
2391,1
2405,5
2419,9
2428,8
2437,7
2442,2
2453,3
2460,0
2474,4
2484,4
2492,2
2504,4
2511,1
2529,9
2535,5
2547,7
2557,7
2562,2
2578,8
2582,2
2596,0
2608,8
2615,5
2627,7
2637,7
2649,9
2651,1
2668,8
2671,1
2688,8
2690,0
2703,3
2710,0
2721,1
2739,9
2749,9
2754,4
2761,1
2778,8
2782,2
2791,1
2802,2
2819,9
2827,7
2835,5
2849,9
2852,2
2866,6
2874,4
2881,1
2895,5
2908,8
2912,2
2929,9
2932,2
2940,0
2954,4
2960,0
2970,0
2982,2
2998,8
3004,4
3017,7
3021,1
3032,2
3044,4
3050,0
3062,2
3077,7
3084,4
3093,3
3103,3
3110,0
3120,0
3133,3
3141,1
3159,9
3166,6
3175,5
3182,2
3195,5
3209,9
3212,7
3229,9
3233,3
3240,0
3254,4
3262,2
3270,0
3287,7
3291,1
3301,1
3312,2
3321,1
3335,5
3343,3
3353,3
3369,9
3377,7
3388,8
3396,6
3405,5
3416,6
3421,1
3433,3
3448,8
3451,1
3460,0
3475,5
3481,1
3493,3
3501,1
3515,5
3525,5
3536,6
3541,1
3558,8
3565,5
3571,1
3587,7
3599,9
3604,4
3616,6
3622,2
3632,2
3645,5
3650,0
3666,6
3675,5
3686,6
3693,3
3707,7
3712,2
3720,0
3738,8
3748,8
3755,5
3764,4
3771,1
3781,1
3794,4
3800,0
3813,3
3823,3
3837,7
3846,6
3851,1
3866,6
3872,2
3881,1
3899,9
3902,2
3918,8
3926,6
3931,1
3949,9
3955,5
3962,2
3975,5
3984,4
3994,4
4002,2
4018,8
4023,3
4038,8
4042,2
4054,4
4065,5
4070,0
4083,3
4091,1
4107,7
4117,7
4125,5
4137,7
4149,9
4157,7
4161,1
4179,9
4182,2
4191,1
4204,4
4212,2
4229,9
4232,2
4240,0
4254,4
4269,9
4271,1
4284,4
4298,8
4301,1
4318,8
4324,4
4335,5
4349,9
4358,8
4368,8
4373,3
4387,7
4396,6
4400,0
4410,0
4423,3
4430,0
4442,2
4456,0
4466,6
4474,4
4489,9
4493,5
4503,3
4513,3
4522,2
4533,3
4549,9
4551,1
4562,2
4576,6
4588,8
4590,0
4605,5
4616,6
4626,6
4636,6
4643,3
4658,8
4668,8
4672,2
4687,7
4695,5
4708,8
4719,9
4726,6
4731,1
4748,8
4754,4
4761,1
4772,2
4785,5
4799,9
4801,1
4819,9
4827,7
4835,5
4844,4
4850,0
4868,8
4879,9
4889,9
4891,1
4900,0
4915,5
4922,2
4933,3
